stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,postal_code
12400,12400.0,111th Street & Campbell,"111th Street & Campbell, Eastbound, Southwest Corner",41.691708,-87.683758,0,,1,60655
12402,12402.0,111th Street & Bell,"111th Street & Bell, Eastbound, Southwest Corner",41.69174656,-87.67768896,0,,1,60643
12404,12404.0,111th Street & Hoyne,"111th Street & Hoyne, Eastbound, Southwest Corner",41.69183,-87.674243,0,,1,60643
12405,12405.0,111th Street & Hale,"111th Street & Hale, Eastbound, Southeast Corner",41.691854,-87.670796,0,,1,60643
12410,12410.0,Vincennes & 109th Street,"Vincennes & 109th Street, Northbound, Southeast Corner",41.69567175,-87.66075281,0,,1,60643
12411,12411.0,Vincennes & 108th Place,"Vincennes & 108th Place, Northbound, Eastside of the Street",41.69652191,-87.66015714,0,,1,60643
12412,12412.0,Vincennes & 107th Street,"Vincennes & 107th Street, Northbound, Southeast Corner",41.69932671,-87.65869381,0,,1,60643
12413,12413.0,10602 S Vincennes,"10602 S Vincennes, Northbound, Eastside of the Street",41.70088056,-87.65812803,0,,1,60643
12414,12414.0,Vincennes & 105th Street,"Vincennes & 105th Street, Northbound, Southeast Corner",41.70304153,-87.65733175,0,,1,60643
12415,12415.0,Vincennes & 104th Street,"Vincennes & 104th Street, Northbound, Southeast Corner",41.70486187,-87.65666036,0,,1,60643
12416,12416.0,119th Street & State,"119th Street & State, Westbound, Northeast Corner",41.67807892,-87.62256039,0,,1,60628
12417,12417.0,119th Street & Perry,"119th Street & Perry, Westbound, Northeast Corner",41.67805435,-87.62503151,0,,1,60628
12418,12418.0,119th Street & Wentworth,"119th Street & Wentworth, Westbound, Northeast Corner",41.67802708,-87.62735602,0,,1,60628
12419,12419.0,119th Street & Princeton,"119th Street & Princeton, Westbound, Northeast Corner",41.67800596,-87.6297301,0,,1,60628
12420,12420.0,119th Street & Stewart,"119th Street & Stewart, Westbound, Northeast Corner",41.67797652,-87.63213768,0,,1,60628
12421,12421.0,119th Street & Normal,"119th Street & Normal, Westbound, Northeast Corner",41.6779518,-87.63456348,0,,1,60628
12422,12422.0,119th Street & Wallace,"119th Street & Wallace, Westbound, Northeast Corner",41.67792394,-87.63697086,0,,1,60628
12423,12423.0,119th Street & Union,"119th Street & Union, Westbound, Northeast Corner",41.67788983,-87.63934174,0,,1,60628
12425,12425.0,119th Street & Peoria,"119th Street & Peoria, Westbound, Northeast Corner",41.67785107,-87.64422766,0,,1,60628
12426,12426.0,119th Street & Morgan,"119th Street & Morgan, Westbound, Northeast Corner",41.67781796,-87.64667884,0,,1,60643
12427,12427.0,119th Street & Elizabeth,"119th Street & Elizabeth, Westbound, Northside of the Street",41.67773624,-87.65278635,0,,1,60643
12428,12428.0,119th Street & Loomis,"119th Street & Loomis, Westbound, Northeast Corner",41.67766994,-87.65638638,0,,1,60643
12429,12429.0,119th Street & Laflin,"119th Street & Laflin, Westbound, Northeast Corner",41.6776328,-87.6588212,0,,1,60643
12430,12430.0,119th Street & Ashland,"119th Street & Ashland, Westbound, Northeast Corner",41.67762778,-87.66119617,0,,1,60643
12431,12431.0,119th Street & Marshfield,"119th Street & Marshfield, Westbound, Northwest Corner",41.67758193,-87.6627265,0,,1,60643
12432,12432.0,119th Street & Page,"119th Street & Page, Westbound, Northwest Corner",41.67754774,-87.66504909999998,0,,1,60643
12433,12433.0,119th Street & Vincennes,"119th Street & Vincennes, Westbound, Northeast Corner",41.67741435,-87.67157154,0,,1,60643
12436,12436.0,119th Street & Bell,"119th Street & Bell, Westbound, Northeast Corner",41.67731122,-87.67681591,0,,1,60406
12437,12437.0,119th Street & Bell,"119th Street & Bell, Eastbound, Southwest Corner",41.67720645,-87.67705627,0,,1,60406
12440,12440.0,119th Street & Vincennes,"119th Street & Vincennes, Eastbound, Southwest Corner",41.6772714,-87.67214378,0,,1,60406
12441,12441.0,119th Street & Page,"119th Street & Page, Eastbound, Southwest Corner",41.67739872,-87.66524231,0,,1,60643
12442,12442.0,119th Street & Marshfield,"119th Street & Marshfield, Eastbound, Southwest Corner",41.67741681,-87.66266599,0,,1,60643
12443,12443.0,119th Street & Justine,"119th Street & Justine, Eastbound, Southside of the Street",41.67749204,-87.66048782,0,,1,60643
12444,12444.0,119th Street & Laflin,"119th Street & Laflin, Eastbound, Southside of the Street",41.67751829,-87.65907441,0,,1,60643
12445,12445.0,119th Street & Loomis,"119th Street & Loomis, Eastbound, Southside of the Street",41.67754029,-87.65658841,0,,1,60643
12446,12446.0,119th Street & Elizabeth,"119th Street & Elizabeth, Eastbound, Southside of the Street",41.67759318,-87.65271415,0,,1,60643
12447,12447.0,119th Street & Morgan,"119th Street & Morgan, Eastbound, Southwest Corner",41.6776699,-87.64687981,0,,1,60643
12449,12449.0,119th Street & Peoria,"119th Street & Peoria, Eastbound, Southwest Corner",41.67770858,-87.64442308,0,,1,60628
12453,12453.0,119th Street & Halsted,"119th Street & Halsted, Eastbound, Southwest Corner",41.67774285,-87.64214226,0,,1,60628
12454,12454.0,119th Street & Union,"119th Street & Union, Eastbound, Southwest Corner",41.67778466,-87.63961646,0,,1,60628
12455,12455.0,119th Street & Wallace,"119th Street & Wallace, Eastbound, Southwest Corner",41.677811,-87.637201,0,,1,60628
12456,12456.0,119th Street & Normal,"119th Street & Normal, Eastbound, Southwest Corner",41.677836,-87.634789,0,,1,60628
12457,12457.0,119th Street & Stewart,"119th Street & Stewart, Eastbound, Southwest Corner",41.6778639,-87.63239489,0,,1,60628
12458,12458.0,119th Street & Princeton,"119th Street & Princeton, Eastbound, Southwest Corner",41.67789034,-87.62998448,0,,1,60628
12459,12459.0,119th Street & Wentworth,"119th Street & Wentworth, Eastbound, Southwest Corner",41.67791639,-87.62756892,0,,1,60628
12460,12460.0,119th Street & Perry,"119th Street & Perry, Eastbound, Southwest Corner",41.67794172,-87.62524002,0,,1,60628
12461,12461.0,119th Street & State,"119th Street & State, Eastbound, Southwest Corner",41.67796617,-87.6227765,0,,1,60628
12462,12462.0,Addison & Cumberland Terminal,"Addison & Cumberland Terminal, Northbound, Bus Terminal",41.94443813,-87.83549313,0,,1,60171
12464,12464.0,Addison & Pittsburgh,"Addison & Pittsburgh, Eastbound, Southwest Corner",41.944807,-87.83284599999998,0,,1,60634
12466,12466.0,Addison & Paris,"Addison & Paris, Eastbound, Southwest Corner",41.944873,-87.830403,0,,1,60634
12469,12469.0,Addison & Forest Preserve Avenue,"Addison & Forest Preserve Avenue, Eastbound, Southwest Corner",41.9450165,-87.8256147,0,,1,60634
12470,12470.0,Addison & Orange,"Addison & Orange, Eastbound, Southwest Corner",41.945053,-87.82426099999998,0,,1,60634
12471,12471.0,Addison & Ozanam,"Addison & Ozanam, Eastbound, Southwest Corner",41.945121,-87.821795,0,,1,60634
12472,12472.0,Addison & Overhill,"Addison & Overhill, Eastbound, Southwest Corner",41.945169,-87.81970600000002,0,,1,60634
12473,12473.0,Addison & Oriole,"Addison & Oriole, Eastbound, Southwest Corner",41.945122,-87.81687600000002,0,,1,60634
12474,12474.0,Addison & Olcott,"Addison & Olcott, Eastbound, Southwest Corner",41.945061,-87.814441,0,,1,60634
12475,12475.0,Addison & Oketo,"Addison & Oketo, Eastbound, Southwest Corner",41.945107,-87.811931,0,,1,60634
12476,12476.0,Addison & Octavia,"Addison & Octavia, Eastbound, Southwest Corner",41.945151,-87.809525,0,,1,60634
12479,12479.0,Addison & Nordica,"Addison & Nordica, Eastbound, Southwest Corner",41.945273,-87.803444,0,,1,60634
12480,12480.0,Addison & Sayre,"Addison & Sayre, Eastbound, Southside of the Street",41.945321,-87.80076700000002,0,,1,60634
12481,12481.0,Addison & New England,"Addison & New England, Eastbound, Southwest Corner",41.94537,-87.798541,0,,1,60634
12483,12483.0,Addison & Normandy,"Addison & Normandy, Eastbound, Southwest Corner",41.94543957,-87.79363422,0,,1,60634
12485,12485.0,Addison & Neenah,"Addison & Neenah, Eastbound, Southwest Corner",41.945535,-87.79009,0,,1,60634
12488,12488.0,Addison & Mobile,"Addison & Mobile, Eastbound, Southwest Corner",41.94563400000001,-87.783909,0,,1,60634
12489,12489.0,Addison & Melvina,"Addison & Melvina, Eastbound, Southwest Corner",41.94566,-87.781482,0,,1,60634
12490,12490.0,Addison & Meade,"Addison & Meade, Eastbound, Southwest Corner",41.945686,-87.779045,0,,1,60634
12491,12491.0,Addison & Austin,"Addison & Austin, Eastbound, Southeast Corner",41.94571,-87.776253,0,,1,60641
12492,12492.0,Addison & Marmora,"Addison & Marmora, Eastbound, Southwest Corner",41.945738,-87.77418,0,,1,60641
12493,12493.0,Addison & Menard,"Addison & Menard, Eastbound, Southwest Corner",41.94577284,-87.77167961,0,,1,60641
12494,12494.0,Addison & Major,"Addison & Major, Eastbound, Southwest Corner",41.94576518,-87.76930621,0,,1,60641
12496,12496.0,Addison & Linder,"Addison & Linder, Eastbound, Southwest Corner",41.94582218,-87.76440121,0,,1,60641
12497,12497.0,Addison & Long,"Addison & Long, Eastbound, Southwest Corner",41.94585318,-87.76194821,0,,1,60641
12498,12498.0,Addison & Lockwood,"Addison & Lockwood, Eastbound, Southwest Corner",41.94593383,-87.75942346,0,,1,60641
12499,12499.0,Addison & Laramie,"Addison & Laramie, Eastbound, Southwest Corner",41.94590359,-87.7570356,0,,1,60641
